time_seconds,x_meters,y_meters,z_meters
0,140,-200,20
1,140,-200,20
2,140,-200,20
3,140,-200,20
4,140,-200,20
5,140,-200,20
6,145.883,-180.913,18.9542
7,151.766,-161.827,17.9083
8,157.649,-142.74,16.8625
9,163.531,-123.654,15.8166
10,169.414,-104.567,14.7708
11,175.297,-85.4804,13.725
12,181.18,-66.3938,12.6791
13,187.063,-47.3072,11.6333
14,192.946,-28.2206,10.5874
15,198.829,-9.13402,9.54159
16,204.711,9.95258,8.49575
17,210.594,29.0392,7.44991
18,216.477,48.1258,6.40407
19,222.36,67.2124,5.35823
20,228.243,86.299,4.31239
21,234.126,105.386,3.26654
22,240.009,124.472,2.2207
23,245.891,143.559,1.17486
24,251.774,162.645,0.129021
25,236.258,171.602,0
26,217.73,179.134,0
27,199.203,186.666,0
28,181.411,194.77,0
29,178.678,214.582,0
30,175.946,234.394,0
31,174.018,253.889,0
32,189.54,266.501,0
33,204.772,270.553,0
34,219.404,256.919,0
35,234.971,246.108,0
36,254.849,248.317,0
37,265.251,250.25,0
38,245.279,251.301,0
39,225.306,252.352,0
40,205.334,253.403,0
41,185.362,254.455,0
42,165.389,255.506,0
43,145.417,256.557,0
44,125.442,257.465,0
45,105.445,257.122,0
46,85.4479,256.779,0
47,65.4508,256.436,0
48,45.4537,256.093,0
49,43.1129,241.805,0.62258
50,47.3931,222.287,1.47863
51,51.6734,202.769,2.33467
52,55.9536,183.252,3.19072
53,60.2338,163.734,4.04677
54,64.5141,144.216,4.90281
55,68.7943,124.698,5.75886
56,73.0745,105.18,6.6149
57,77.3548,85.6623,7.47095
58,81.635,66.1445,8.327
59,85.9152,46.6266,9.18304
60,90.1955,27.1087,10.0391
61,94.4757,7.59089,10.8951
62,98.7559,-11.927,11.7512
63,103.036,-31.4448,12.6072
64,107.316,-50.9627,13.4633
65,111.597,-70.4805,14.3193
66,115.877,-89.9984,15.1754
67,120.157,-109.516,16.0314
68,124.437,-129.034,16.8875
69,128.718,-148.552,17.7435
70,132.998,-168.07,18.5996
71,137.278,-187.588,19.4556
72,140,-200,20
73,140,-200,20
74,140,-200,20
75,140,-200,20
76,140,-200,20
77,140,-200,20
78,140,-200,20
79,140,-200,20
80,140,-200,20
81,140,-200,20
82,140,-200,20
83,140,-200,20
84,140,-200,20
85,140,-200,20
86,140,-200,20
87,140,-200,20
88,140,-200,20
89,140,-200,20
90,140,-200,20
91,140,-200,20
92,140,-200,20
93,140,-200,20
94,140,-200,20
95,140,-200,20
96,140,-200,20
97,140,-200,20
98,140,-200,20
99,140,-200,20
100,140,-200,20
101,140,-200,20
102,140,-200,20
103,140,-200,20
104,140,-200,20
105,140,-200,20
106,140,-200,20
107,140,-200,20
108,140,-200,20
109,140,-200,20
110,140,-200,20
111,140,-200,20
112,140,-200,20
113,140,-200,20
114,140,-200,20
115,140,-200,20
116,140,-200,20
117,140,-200,20
118,140,-200,20
119,140,-200,20
120,140,-200,20
121,140,-200,20
122,140,-200,20
123,140,-200,20
124,140,-200,20
125,140,-200,20
126,140,-200,20
127,140,-200,20
128,140,-200,20
129,140,-200,20
130,140,-200,20
131,140,-200,20
132,140,-200,20
133,140,-200,20
134,140,-200,20
135,140,-200,20
136,140,-200,20
137,140,-200,20
138,140,-200,20
139,140,-200,20
140,140,-200,20
141,140,-200,20
142,140,-200,20
143,140,-200,20
144,140,-200,20
145,140,-200,20
146,140,-200,20
147,140,-200,20
148,140,-200,20
149,140,-200,20
150,140,-200,20
151,140,-200,20
152,140,-200,20
153,140,-200,20
154,140,-200,20
155,140,-200,20
156,140,-200,20
157,140,-200,20
158,140,-200,20
159,140,-200,20
160,140,-200,20
161,140,-200,20
162,140,-200,20
163,140,-200,20
164,140,-200,20
165,140,-200,20
166,140,-200,20
167,140,-200,20
168,140,-200,20
169,140,-200,20
170,140,-200,20
171,140,-200,20
172,140,-200,20
173,140,-200,20
174,140,-200,20
175,140,-200,20
176,140,-200,20
177,140,-200,20
178,140,-200,20
179,140,-200,20
180,140,-200,20
181,140,-200,20
182,140,-200,20
183,140,-200,20
184,140,-200,20
185,140,-200,20
186,140,-200,20
187,140,-200,20
188,140,-200,20
189,140,-200,20
190,140,-200,20
191,140,-200,20
192,140,-200,20
193,140,-200,20
194,140,-200,20
195,140,-200,20
196,140,-200,20
197,140,-200,20
198,140,-200,20
199,140,-200,20
200,140,-200,20
201,140,-200,20
202,140,-200,20
203,140,-200,20
204,140,-200,20
205,140,-200,20
206,140,-200,20
207,140,-200,20
208,140,-200,20
209,140,-200,20
210,140,-200,20
211,140,-200,20
212,140,-200,20
213,140,-200,20
214,140,-200,20
215,140,-200,20
216,140,-200,20
217,140,-200,20
218,140,-200,20
219,140,-200,20
220,140,-200,20
221,140,-200,20
222,140,-200,20
223,140,-200,20
224,140,-200,20
225,140,-200,20
226,140,-200,20
227,140,-200,20
228,140,-200,20
229,140,-200,20
230,140,-200,20
231,140,-200,20
232,140,-200,20
233,140,-200,20
234,140,-200,20
235,140,-200,20
236,140,-200,20
237,140,-200,20
238,140,-200,20
239,140,-200,20
240,140,-200,20
241,140,-200,20
242,140,-200,20
243,140,-200,20
244,140,-200,20
245,140,-200,20
246,140,-200,20
247,140,-200,20
248,140,-200,20
249,140,-200,20
250,140,-200,20
251,140,-200,20
252,140,-200,20
