run_id,mode,R_m,spacing_m,k,trickle,r_tx_m,r_bc_m,seed,n_nodes,n_seeded,n_complete,frac_complete,censored,T_spread_s,t50_s,t90_s,t95_s,t99_s,pkt_adv,pkt_frag,pkt_total,send_fail,bytes_total,rx_adv,rx_frag,mac_tx,mac_tx_ok,mac_tx_drop,mac_rx_drop,phy_rx_drop,phy_tx_drop,traces_connected,adv_interval_s,suppress_window_s,stop_time_s,tx_power_dBm,schema_version,prov_id
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1000,spread,60,20,4,1,50,50,1000,23,21,23,1,0,1.19966,0.118983,0.237805,0.237805,1.19966,23,37,60,0,3120,292,226,55,55,5,0,692,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1003,spread,60,20,4,1,50,50,1003,23,20,23,1,0,1.33774,0.105883,0.325,0.325,1.33774,20,26,46,0,2250,232,250,43,43,3,0,464,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1006,spread,60,20,4,1,50,50,1006,23,23,23,1,0,1.05253,0.255607,1.05253,1.05253,1.05253,27,23,50,0,2130,383,174,50,50,0,0,543,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1009,spread,60,20,4,1,50,50,1009,23,22,23,1,0,1.60798,0.0898336,1.09504,1.42669,1.60798,35,45,80,0,3900,457,276,77,77,3,0,961,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1012,spread,60,20,4,1,50,50,1012,23,23,23,1,0,0.311123,0.0730057,0.267598,0.307347,0.311123,15,26,41,0,2175,213,214,41,41,0,0,475,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1015,spread,60,20,4,1,50,50,1015,23,21,23,1,0,0.320128,0.12272,0.320128,0.320128,0.320128,11,14,25,0,1215,134,174,25,25,0,0,242,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1018,spread,60,20,4,1,50,50,1018,23,19,23,1,0,0.467452,0.241921,0.467452,0.467452,0.467452,19,21,40,0,1860,284,262,39,39,1,0,312,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1021,spread,60,20,4,1,50,50,1021,23,22,23,1,0,1.89894,0.223644,1.22292,1.22292,1.89894,45,41,86,0,3750,651,401,84,84,2,0,796,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1024,spread,60,20,4,1,50,50,1024,23,17,23,1,0,1.2812,0.123273,1.2812,1.2812,1.2812,39,25,64,0,2460,577,312,63,63,1,0,497,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1027,spread,60,20,4,1,50,50,1027,23,20,23,1,0,1.8297,0.128803,0.289025,1.54542,1.8297,28,43,71,0,3645,422,353,68,68,3,0,721,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1030,spread,60,20,4,1,50,50,1030,23,23,23,1,0,1.1621,0.11166,1.1621,1.1621,1.1621,25,32,57,0,2775,359,272,55,55,2,0,579,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1033,spread,60,20,4,1,50,50,1033,23,21,23,1,0,1.89798,0.261124,0.549111,0.549111,1.89798,29,37,66,0,3210,362,263,62,62,4,0,739,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1036,spread,60,20,4,1,50,50,1036,23,19,23,1,0,1.98655,0.0343363,1.15439,1.16245,1.98655,26,36,62,0,3090,391,245,57,56,5,0,599,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1039,spread,60,20,4,1,50,50,1039,23,21,23,1,0,1.33005,0.289934,1.33005,1.33005,1.33005,33,34,67,0,3045,438,226,61,61,6,0,678,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1042,spread,60,20,4,1,50,50,1042,23,20,23,1,0,1.01966,0.213545,0.417886,0.417886,1.01966,23,28,51,0,2445,260,260,47,47,4,0,514,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1045,spread,60,20,4,1,50,50,1045,23,22,23,1,0,1.45159,0.0711981,1.24932,1.42695,1.45159,32,47,79,0,4005,411,427,77,77,2,0,856,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1048,spread,60,20,4,1,50,50,1048,23,21,23,1,0,0.264112,0.0531601,0.069544,0.069544,0.264112,12,19,31,0,1605,161,173,28,28,3,0,282,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1051,spread,60,20,4,1,50,50,1051,23,20,23,1,0,1.46717,0.29461,0.46499,0.46499,1.46717,26,29,55,0,2565,386,288,51,51,4,0,448,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1054,spread,60,20,4,1,50,50,1054,23,21,23,1,0,1.206,0.100912,0.290192,1.18898,1.206,21,26,47,0,2265,269,260,44,44,3,0,439,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1057,spread,60,20,4,1,50,50,1057,23,22,23,1,0,0.477792,0.233946,0.319135,0.431034,0.477792,16,25,41,0,2115,197,163,40,40,1,0,520,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1060,spread,60,20,4,1,50,50,1060,23,20,23,1,0,0.428427,0.225419,0.425067,0.428427,0.428427,16,25,41,0,2115,241,236,37,37,4,0,337,0,6,0.5,1,900,-8,1,bc48c85adf467ea9
