run_id,mode,R_m,spacing_m,k,trickle,r_tx_m,r_bc_m,seed,n_nodes,n_seeded,n_complete,frac_complete,censored,T_spread_s,t50_s,t90_s,t95_s,t99_s,pkt_adv,pkt_frag,pkt_total,send_fail,bytes_total,rx_adv,rx_frag,mac_tx,mac_tx_ok,mac_tx_drop,mac_rx_drop,phy_rx_drop,phy_tx_drop,traces_connected,adv_interval_s,suppress_window_s,stop_time_s,tx_power_dBm
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1002,spread,60,20,4,1,50,50,1002,23,22,23,1,0,1.83021,0.0857082,0.399156,0.399156,1.83021,24,33,57,0,2835,327,325,54,54,3,0,536,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1005,spread,60,20,4,1,50,50,1005,23,23,23,1,0,1.38546,0.175605,1.16713,1.37132,1.38546,27,47,74,0,3930,335,350,66,66,8,0,767,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1008,spread,60,20,4,1,50,50,1008,23,20,23,1,0,1.10458,0.0957975,0.224072,0.224072,1.10458,18,28,46,0,2370,282,216,44,44,2,0,470,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1011,spread,60,20,4,1,50,50,1011,23,21,23,1,0,1.13493,0.235708,0.435068,0.435068,1.13493,22,39,61,0,3255,296,295,57,57,4,0,663,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1014,spread,60,20,4,1,50,50,1014,23,20,23,1,0,1.30205,0.414613,1.05264,1.05596,1.30205,43,32,75,0,3045,575,318,69,67,6,0,604,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1017,spread,60,20,4,1,50,50,1017,23,23,23,1,0,1.33225,0.291175,0.488263,0.488263,1.33225,26,37,63,0,3165,306,323,61,61,2,0,713,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1020,spread,60,20,4,1,50,50,1020,23,22,23,1,0,0.448728,0.142714,0.340474,0.448728,0.448728,17,21,38,0,1830,224,175,34,34,4,0,349,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1023,spread,60,20,4,1,50,50,1023,23,20,23,1,0,2.21945,0.207678,1.06851,1.6765,2.21945,38,63,101,0,5295,497,433,89,89,12,0,1028,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1026,spread,60,20,4,1,50,50,1026,23,22,23,1,0,1.12528,0.111771,0.302907,0.371013,1.12528,23,34,57,0,2895,300,255,55,55,2,0,655,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1029,spread,60,20,4,1,50,50,1029,23,19,23,1,0,1.21732,0.0983669,1.16638,1.21732,1.21732,27,33,60,0,2880,387,324,56,56,4,0,521,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1032,spread,60,20,4,1,50,50,1032,23,23,23,1,0,1.68701,0.243799,1.4647,1.68368,1.68701,37,46,83,0,4005,516,424,81,81,2,0,842,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1035,spread,60,20,4,1,50,50,1035,23,23,23,1,0,1.27673,0.224992,0.421312,0.421312,1.27673,27,39,66,0,3330,362,319,63,63,3,0,705,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1038,spread,60,20,4,1,50,50,1038,23,20,23,1,0,1.20611,0.178847,1.19721,1.19721,1.20611,23,35,58,0,2970,282,316,52,52,6,0,546,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1041,spread,60,20,4,1,50,50,1041,23,22,23,1,0,1.36274,0.0359271,0.241134,0.409688,1.36274,27,35,62,0,3030,349,307,61,61,1,0,686,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1044,spread,60,20,4,1,50,50,1044,23,23,23,1,0,0.266845,0.234121,0.254621,0.254621,0.266845,15,22,37,0,1875,209,227,36,36,1,0,356,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1047,spread,60,20,4,1,50,50,1047,23,20,23,1,0,2.21555,0.072285,1.39077,1.44898,2.21555,47,50,97,0,4455,710,415,93,93,4,0,921,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1050,spread,60,20,4,1,50,50,1050,23,20,23,1,0,1.76272,0.0495238,0.285783,0.446276,1.76272,29,27,56,0,2460,364,214,53,53,3,0,588,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1053,spread,60,20,4,1,50,50,1053,23,21,23,1,0,2.12109,0.227461,1.12886,1.12886,2.12109,48,34,82,0,3270,646,241,79,79,3,0,851,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1056,spread,60,20,4,1,50,50,1056,23,18,23,1,0,1.79402,0.114893,1.59239,1.59239,1.79402,36,50,86,0,4290,512,400,80,80,6,0,848,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1059,spread,60,20,4,1,50,50,1059,23,23,23,1,0,1.84427,0.14001,0.218641,0.218641,1.84427,24,36,60,0,3060,271,266,55,55,5,0,673,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1062,spread,60,20,4,1,50,50,1062,23,19,23,1,0,2.62419,0.0939366,1.27334,1.29217,2.62419,43,37,80,0,3420,635,369,77,77,3,0,690,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1065,spread,60,20,4,1,50,50,1065,23,20,23,1,0,1.20428,0.145646,0.54123,0.54123,1.20428,22,29,51,0,2505,324,264,49,49,2,0,490,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1068,spread,60,20,4,1,50,50,1068,23,20,23,1,0,1.76497,0.126727,1.75812,1.76497,1.76497,35,32,67,0,2925,526,255,64,64,3,0,627,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1071,spread,60,20,4,1,50,50,1071,23,20,23,1,0,1.24404,0.0724023,1.23098,1.24084,1.24404,27,32,59,0,2805,379,224,56,55,3,0,611,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1074,spread,60,20,4,1,50,50,1074,23,21,23,1,0,1.21549,0.116181,1.18489,1.18489,1.21549,25,27,52,0,2400,352,293,50,50,2,0,455,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1077,spread,60,20,4,1,50,50,1077,23,21,23,1,0,1.17034,0.257026,0.460642,1.16317,1.17034,29,38,67,0,3285,355,283,62,62,5,0,726,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1080,spread,60,20,4,1,50,50,1080,23,22,23,1,0,1.51076,0.187884,1.48833,1.49134,1.51076,36,37,73,0,3315,483,339,70,70,3,0,718,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1083,spread,60,20,4,1,50,50,1083,23,20,23,1,0,1.44563,0.229167,1.44563,1.44563,1.44563,32,33,65,0,2955,465,246,62,62,3,0,653,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1086,spread,60,20,4,1,50,50,1086,23,23,23,1,0,0.271633,0.239405,0.271633,0.271633,0.271633,19,24,43,0,2085,257,182,43,43,0,0,507,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1089,spread,60,20,4,1,50,50,1089,23,22,23,1,0,1.58466,0.218323,1.28837,1.58133,1.58466,31,40,71,0,3465,436,359,65,65,6,0,635,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1092,spread,60,20,4,1,50,50,1092,23,20,23,1,0,1.35866,0.115952,0.316549,0.325316,1.35866,22,33,55,0,2805,335,286,50,50,5,0,479,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1095,spread,60,20,4,1,50,50,1095,23,22,23,1,0,0.289357,0.0661801,0.266573,0.266573,0.289357,13,18,31,0,1545,186,204,30,30,1,0,270,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1098,spread,60,20,4,1,50,50,1098,23,19,23,1,0,1.07286,0.0645956,1.06953,1.07286,1.07286,24,22,46,0,2010,380,171,45,45,1,0,439,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1101,spread,60,20,4,1,50,50,1101,23,22,23,1,0,0.229934,0.208241,0.222449,0.229934,0.229934,7,18,25,0,1455,80,170,23,23,2,0,256,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1104,spread,60,20,4,1,50,50,1104,23,20,23,1,0,3.36431,0.048565,1.50449,1.80099,3.36431,57,49,106,0,4530,692,429,98,98,8,0,1035,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1107,spread,60,20,4,1,50,50,1107,23,22,23,1,0,0.433927,0.134088,0.239474,0.243794,0.433927,14,23,37,0,1935,193,201,33,33,4,0,332,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1110,spread,60,20,4,1,50,50,1110,23,22,23,1,0,1.33256,0.0841927,0.286465,0.286465,1.33256,19,30,49,0,2535,250,256,44,44,5,0,462,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1113,spread,60,20,4,1,50,50,1113,23,21,23,1,0,1.39295,0.214779,1.39295,1.39295,1.39295,27,27,54,0,2430,374,246,48,48,6,0,436,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1116,spread,60,20,4,1,50,50,1116,23,23,23,1,0,0.256055,0.0439594,0.256055,0.256055,0.256055,17,22,39,0,1905,253,208,36,36,3,0,331,0,6,0.5,1,900,-8
main~main|R60|sp20|k4|tr1|ai0.5|spread|s1119,spread,60,20,4,1,50,50,1119,23,23,23,1,0,1.72935,0.142978,0.227133,1.72935,1.72935,27,37,64,0,3180,416,327,57,57,6,0,511,0,6,0.5,1,900,-8
