series,k,m,theta_ops,passes_per_ch,T1_s,r_times_T2_s,one_minus_r_times_Tmiss_s,T_total_s,r_k,f_k,N_flagged,is_kstar,schema_version,prov_id
all-k (m=k),2,2.0000,20.6134,0.8245,1477.790,247.845,10630.718,12356.354,0.280634,0.389400,38.8313,0,1,1d478b3dd653a6b1
all-k (m=k),3,3.0000,34.2946,1.3718,2027.210,312.549,9021.396,11361.155,0.389535,0.343645,34.4104,0,1,1d478b3dd653a6b1
all-k (m=k),4,4.0000,48.9285,1.9571,2892.243,351.576,7659.133,10902.952,0.481717,0.303265,30.5050,0,1,1d478b3dd653a6b1
all-k (m=k),5,5.0000,64.2708,2.5708,3799.151,372.061,6506.003,10677.215,0.559748,0.267631,27.0552,0,1,1d478b3dd653a6b1
all-k (m=k),6,6.0000,80.1776,3.2071,4739.429,379.325,5529.900,10648.654,0.625799,0.236183,24.0079,1,1,1d478b3dd653a6b1
all-k (m=k),7,7.0000,96.5539,3.8622,5707.457,377.320,4703.646,10788.423,0.681711,0.208431,21.3164,0,1,1d478b3dd653a6b1
all-k (m=k),8,8.0000,113.3321,4.5333,6699.243,368.972,4004.237,11072.451,0.729039,0.183940,18.9391,0,1,1d478b3dd653a6b1
all-k (m=k),9,9.0000,130.4617,5.2185,7711.798,356.433,3412.200,11480.432,0.769101,0.162326,16.8394,0,1,1d478b3dd653a6b1
all-k (m=k),10,10.0000,147.9034,5.9161,8742.807,341.281,2911.052,11995.139,0.803013,0.143252,14.9850,0,1,1d478b3dd653a6b1
all-k (m=k),11,11.0000,165.6260,6.6250,9790.416,324.658,2486.839,12601.912,0.831719,0.126420,13.3473,0,1,1d478b3dd653a6b1
all-k (m=k),12,12.0000,183.6038,7.3442,10853.112,307.384,2127.750,13288.247,0.856018,0.111565,11.9010,0,1,1d478b3dd653a6b1
all-k (m=k),13,13.0000,201.8155,8.0726,11929.634,290.041,1823.789,14043.464,0.876587,0.098456,10.6237,0,1,1d478b3dd653a6b1
all-k (m=k),14,14.0000,220.2430,8.8097,13018.918,273.029,1566.491,14858.437,0.893998,0.086887,9.4958,0,1,1d478b3dd653a6b1
