config_id,regime,m_policy,r_family,r_idx,r_params,f_family,f_idx,f_params,R_cluster_m,C_clusters,T_miss_mult,k_star,m_at_kstar,T_at_kstar,at_lower,at_upper,interior,rel_depth,interior_meaningful,quasiconvex,n_violations,max_violation_rel,quasiconvex_even_k,k_star_even_k,theta_at_kstar,passes_at_kstar,T1_at_kstar,T2_at_kstar,r_at_kstar,f_at_kstar,N_at_kstar,T1_share_at_kstar,schema_version,prov_id
0,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",50.0,400.0,1.0,2,2,3194.990034910146,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,1974.7832384590386,0.4817170521577339,0.256708559516296,102.90843229915984,0.46253350692062345,1,1d478b3dd653a6b1
1,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",50.0,400.0,3.0,3,3,4622.009928413164,0,0,1,0.022675581950643484,1,1,0,0.0,1,2,34.29462295175867,1.3717849180703467,2027.209959207869,1495.4155901605272,0.6257993532402721,0.18393972058572117,74.01774786694301,0.43859922211457775,1,1d478b3dd653a6b1
2,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",50.0,400.0,10.0,5,5,7414.328801296077,0,0,1,0.3606369865871244,1,1,0,0.0,1,6,64.27081834353626,2.5708327337414505,3799.150765288558,876.8551514465486,0.8030131531908138,0.09443780141878091,38.48369591928439,0.5124065666772749,1,1d478b3dd653a6b1
3,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",50.0,400.0,30.0,8,8,10579.849292394802,0,0,1,1.4014025039221636,1,1,0,0.0,1,8,113.33211922164725,4.53328476886589,6699.242651171213,420.7675682190509,0.9212113832894265,0.03474172561140077,14.783159902238333,0.6332077580714579,1,1d478b3dd653a6b1
4,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",75.0,177.7778,1.0,2,2,2729.915891305038,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,1009.3323757131138,0.4817170521577339,0.256708559516296,45.86208573998295,0.5413316762359944,1,1d478b3dd653a6b1
5,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",75.0,177.7778,3.0,3,3,4173.642909096053,0,0,1,0.021108571705648154,1,1,0,0.0,1,2,34.29462295175867,1.3717849180703467,2027.209959207869,778.9447005765892,0.6257993532402721,0.18393972058572117,33.14225440344943,0.48571715486002887,1,1d478b3dd653a6b1
6,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",75.0,177.7778,10.0,5,5,7093.163979810919,0,0,1,0.3566774829323818,1,1,0,0.0,1,6,64.27081834353626,2.5708327337414505,3799.150765288558,476.90551150728555,0.8030131531908138,0.09443780141878091,17.497517826221973,0.535607350415411,1,1d478b3dd653a6b1
7,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",75.0,177.7778,30.0,8,8,10420.825455823116,0,0,1,1.3934190764450183,1,1,0,0.0,1,8,113.33211922164725,4.53328476886589,6699.242651171213,248.14287050434422,0.9212113832894265,0.03474172561140077,7.062776433038162,0.6428706324245842,1,1d478b3dd653a6b1
8,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",100.0,100.0,1.0,2,2,2553.2260730659477,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,642.5406720612475,0.4817170521577339,0.256708559516296,25.895864444271037,0.5787932220388479,1,1d478b3dd653a6b1
9,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",100.0,100.0,3.0,3,3,4001.6003867851205,0,0,1,0.020854742259586615,1,1,0,0.0,1,2,34.29462295175867,1.3717849180703467,2027.209959207869,504.0282734180627,0.6257993532402721,0.18393972058572117,18.835831691226666,0.5065998008952929,1,1d478b3dd653a6b1
10,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",100.0,100.0,10.0,5,5,6967.406964859705,0,0,1,0.3558051199766017,1,1,0,0.0,1,6,64.27081834353626,2.5708327337414505,3799.150765288558,320.29909173506707,0.8030131531908138,0.09443780141878091,10.152355493650123,0.5452747032647399,1,1d478b3dd653a6b1
11,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",100.0,100.0,30.0,8,8,10357.031536348804,0,0,1,1.391101401315438,1,1,0,0.0,1,8,113.33211922164725,4.53328476886589,6699.242651171213,178.89283665595696,0.9212113832894265,0.03474172561140077,4.360642218818103,0.6468303806606847,1,1d478b3dd653a6b1
12,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",125.0,64.0,1.0,2,2,2465.1195283372745,1,0,0,0.0,0,1,0,0.0,1,2,20.613381509127453,0.8245352603650982,1477.7899454234348,459.63964264154674,0.4817170521577339,0.256708559516296,16.654356301684384,0.599480036742967,1,1d478b3dd653a6b1
13,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",125.0,64.0,3.0,3,3,3915.1660089755487,0,0,1,0.020888048574615372,1,1,0,0.0,1,2,34.29462295175867,1.3717849180703467,2027.209959207869,365.9099174913105,0.6257993532402721,0.18393972058572117,12.214001750140705,0.5177839086670845,1,1d478b3dd653a6b1
14,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",125.0,64.0,10.0,5,5,6903.3737589688935,0,0,1,0.3556182553538192,1,1,0,0.0,1,6,64.27081834353626,2.5708327337414505,3799.150765288558,240.55792481099695,0.8030131531908138,0.09443780141878091,6.752594642574011,0.5503324748066385,1,1d478b3dd653a6b1
15,all-k,equal-k,sat-exp,0,"{""k_r"": 3.0, ""r_inf"": 0.99}",exp-decay,0,"{""f0"": 0.5, ""f_floor"": 0.0, ""k_f"": 3.0}",125.0,64.0,30.0,8,8,10324.268513750805,0,0,1,1.39015539381183,1,1,0,0.0,1,8,113.33211922164725,4.53328476886589,6699.242651171213,143.32768495211053,0.9212113832894265,0.03474172561140077,3.109940096807675,0.6488830314950206,1,1d478b3dd653a6b1
