series,k,m,theta_ops,theta_over_k,theta_over_k_lnk,schema_version,prov_id
all-k,2,2,20.6134,10.3067,14.8694,1,1d478b3dd653a6b1
all-k,3,3,34.2946,11.4315,10.4054,1,1d478b3dd653a6b1
all-k,4,4,48.9285,12.2321,8.8236,1,1d478b3dd653a6b1
all-k,5,5,64.2708,12.8542,7.9867,1,1d478b3dd653a6b1
all-k,6,6,80.1776,13.3629,7.4580,1,1d478b3dd653a6b1
all-k,7,7,96.5539,13.7934,7.0884,1,1d478b3dd653a6b1
all-k,8,8,113.3321,14.1665,6.8127,1,1d478b3dd653a6b1
all-k,9,9,130.4617,14.4957,6.5973,1,1d478b3dd653a6b1
all-k,10,10,147.9034,14.7903,6.4234,1,1d478b3dd653a6b1
all-k,11,11,165.6260,15.0569,6.2792,1,1d478b3dd653a6b1
all-k,12,12,183.6038,15.3003,6.1573,1,1d478b3dd653a6b1
all-k,13,13,201.8155,15.5243,6.0525,1,1d478b3dd653a6b1
all-k,14,14,220.2430,15.7316,5.9611,1,1d478b3dd653a6b1
all-k,15,15,238.8711,15.9247,5.8805,1,1d478b3dd653a6b1
all-k,16,16,257.6861,16.1054,5.8088,1,1d478b3dd653a6b1
all-k,17,17,276.6765,16.2751,5.7444,1,1d478b3dd653a6b1
all-k,18,18,295.8320,16.4351,5.6862,1,1d478b3dd653a6b1
all-k,19,19,315.1432,16.5865,5.6332,1,1d478b3dd653a6b1
all-k,20,20,334.6021,16.7301,5.5846,1,1d478b3dd653a6b1
all-k,21,21,354.2013,16.8667,5.5400,1,1d478b3dd653a6b1
all-k,22,22,373.9340,16.9970,5.4988,1,1d478b3dd653a6b1
all-k,23,23,393.7941,17.1215,5.4605,1,1d478b3dd653a6b1
all-k,24,24,413.7762,17.2407,5.4249,1,1d478b3dd653a6b1
all-k,25,25,433.8752,17.3550,5.3916,1,1d478b3dd653a6b1
all-k,26,26,454.0864,17.4649,5.3604,1,1d478b3dd653a6b1
all-k,27,27,474.4054,17.5706,5.3311,1,1d478b3dd653a6b1
all-k,28,28,494.8282,17.6724,5.3035,1,1d478b3dd653a6b1
all-k,29,29,515.3513,17.7707,5.2774,1,1d478b3dd653a6b1
all-k,30,30,535.9710,17.8657,5.2528,1,1d478b3dd653a6b1
all-k,31,31,556.6842,17.9576,5.2294,1,1d478b3dd653a6b1
all-k,32,32,577.4878,18.0465,5.2071,1,1d478b3dd653a6b1
all-k,33,33,598.3791,18.1327,5.1859,1,1d478b3dd653a6b1
all-k,34,34,619.3554,18.2163,5.1658,1,1d478b3dd653a6b1
all-k,35,35,640.4141,18.2975,5.1465,1,1d478b3dd653a6b1
all-k,36,36,661.5529,18.3765,5.1281,1,1d478b3dd653a6b1
all-k,37,37,682.7697,18.4532,5.1104,1,1d478b3dd653a6b1
all-k,38,38,704.0622,18.5280,5.0935,1,1d478b3dd653a6b1
all-k,39,39,725.4285,18.6007,5.0772,1,1d478b3dd653a6b1
all-k,40,40,746.8667,18.6717,5.0616,1,1d478b3dd653a6b1
m-of-k fixed m=2,2,2,20.6134,10.3067,14.8694,1,1d478b3dd653a6b1
m-of-k fixed m=2,3,2,16.8211,5.6070,5.1037,1,1d478b3dd653a6b1
m-of-k fixed m=2,4,2,15.6096,3.9024,2.8150,1,1d478b3dd653a6b1
m-of-k fixed m=2,5,2,15.0167,3.0033,1.8661,1,1d478b3dd653a6b1
m-of-k fixed m=2,6,2,14.6655,2.4443,1.3642,1,1d478b3dd653a6b1
m-of-k fixed m=2,7,2,14.4334,2.0619,1.0596,1,1d478b3dd653a6b1
m-of-k fixed m=2,8,2,14.2687,1.7836,0.8577,1,1d478b3dd653a6b1
