table,k,m,regime,theta_ops,ratio_vs_all_k,in_range_s_needed,passes_per_ch,schema_version,prov_id
k10_regimes,10,10,all-k,147.903,1.000,29.581,5.9161,1,1d478b3dd653a6b1
k10_regimes,10,7,m-of-k,53.184,2.781,10.637,2.1274,1,1d478b3dd653a6b1
k10_regimes,10,5,m-of-k,33.427,4.425,6.685,1.3371,1,1d478b3dd653a6b1
k10_regimes,10,3,m-of-k,19.823,7.461,3.965,0.7929,1,1d478b3dd653a6b1
k10_regimes,10,2,m-of-k,14.050,10.527,2.810,0.5620,1,1d478b3dd653a6b1
fixed_m_flat,4,2,m-of-k,15.610,3.135,3.122,0.6244,1,1d478b3dd653a6b1
fixed_m_flat,6,2,m-of-k,14.666,5.467,2.933,0.5866,1,1d478b3dd653a6b1
fixed_m_flat,10,2,m-of-k,14.050,10.527,2.810,0.5620,1,1d478b3dd653a6b1
fixed_m_flat,16,2,m-of-k,13.748,18.744,2.750,0.5499,1,1d478b3dd653a6b1
fixed_m_flat,25,2,m-of-k,13.579,31.952,2.716,0.5432,1,1d478b3dd653a6b1
fixed_m_flat,40,2,m-of-k,13.471,55.441,2.694,0.5389,1,1d478b3dd653a6b1
fixed_m_flat,4,3,m-of-k,26.094,1.875,5.219,1.0438,1,1d478b3dd653a6b1
fixed_m_flat,6,3,m-of-k,21.942,3.654,4.388,0.8777,1,1d478b3dd653a6b1
fixed_m_flat,10,3,m-of-k,19.823,7.461,3.965,0.7929,1,1d478b3dd653a6b1
fixed_m_flat,16,3,m-of-k,18.900,13.634,3.780,0.7560,1,1d478b3dd653a6b1
fixed_m_flat,25,3,m-of-k,18.414,23.562,3.683,0.7366,1,1d478b3dd653a6b1
fixed_m_flat,40,3,m-of-k,18.114,41.231,3.623,0.7246,1,1d478b3dd653a6b1
fixed_m_flat,4,4,all-k,48.929,1.000,9.786,1.9571,1,1d478b3dd653a6b1
fixed_m_flat,6,4,m-of-k,31.563,2.540,6.313,1.2625,1,1d478b3dd653a6b1
fixed_m_flat,10,4,m-of-k,26.158,5.654,5.232,1.0463,1,1d478b3dd653a6b1
fixed_m_flat,16,4,m-of-k,24.171,10.661,4.834,0.9669,1,1d478b3dd653a6b1
fixed_m_flat,25,4,m-of-k,23.193,18.707,4.639,0.9277,1,1d478b3dd653a6b1
fixed_m_flat,40,4,m-of-k,22.610,33.033,4.522,0.9044,1,1d478b3dd653a6b1
all_k_sweep,2,2,all-k,20.613,1.000,4.123,0.8245,1,1d478b3dd653a6b1
all_k_sweep,3,3,all-k,34.295,1.000,6.859,1.3718,1,1d478b3dd653a6b1
all_k_sweep,4,4,all-k,48.929,1.000,9.786,1.9571,1,1d478b3dd653a6b1
all_k_sweep,5,5,all-k,64.271,1.000,12.854,2.5708,1,1d478b3dd653a6b1
all_k_sweep,6,6,all-k,80.178,1.000,16.036,3.2071,1,1d478b3dd653a6b1
all_k_sweep,7,7,all-k,96.554,1.000,19.311,3.8622,1,1d478b3dd653a6b1
all_k_sweep,8,8,all-k,113.332,1.000,22.666,4.5333,1,1d478b3dd653a6b1
all_k_sweep,9,9,all-k,130.462,1.000,26.092,5.2185,1,1d478b3dd653a6b1
all_k_sweep,10,10,all-k,147.903,1.000,29.581,5.9161,1,1d478b3dd653a6b1
all_k_sweep,11,11,all-k,165.626,1.000,33.125,6.6250,1,1d478b3dd653a6b1
all_k_sweep,12,12,all-k,183.604,1.000,36.721,7.3442,1,1d478b3dd653a6b1
all_k_sweep,13,13,all-k,201.815,1.000,40.363,8.0726,1,1d478b3dd653a6b1
all_k_sweep,14,14,all-k,220.243,1.000,44.049,8.8097,1,1d478b3dd653a6b1
all_k_sweep,15,15,all-k,238.871,1.000,47.774,9.5548,1,1d478b3dd653a6b1
all_k_sweep,16,16,all-k,257.686,1.000,51.537,10.3074,1,1d478b3dd653a6b1
all_k_sweep,17,17,all-k,276.677,1.000,55.335,11.0671,1,1d478b3dd653a6b1
all_k_sweep,18,18,all-k,295.832,1.000,59.166,11.8333,1,1d478b3dd653a6b1
all_k_sweep,19,19,all-k,315.143,1.000,63.029,12.6057,1,1d478b3dd653a6b1
all_k_sweep,20,20,all-k,334.602,1.000,66.920,13.3841,1,1d478b3dd653a6b1
all_k_sweep,21,21,all-k,354.201,1.000,70.840,14.1681,1,1d478b3dd653a6b1
all_k_sweep,22,22,all-k,373.934,1.000,74.787,14.9574,1,1d478b3dd653a6b1
all_k_sweep,23,23,all-k,393.794,1.000,78.759,15.7518,1,1d478b3dd653a6b1
all_k_sweep,24,24,all-k,413.776,1.000,82.755,16.5510,1,1d478b3dd653a6b1
all_k_sweep,25,25,all-k,433.875,1.000,86.775,17.3550,1,1d478b3dd653a6b1
all_k_sweep,26,26,all-k,454.086,1.000,90.817,18.1635,1,1d478b3dd653a6b1
all_k_sweep,27,27,all-k,474.405,1.000,94.881,18.9762,1,1d478b3dd653a6b1
all_k_sweep,28,28,all-k,494.828,1.000,98.966,19.7931,1,1d478b3dd653a6b1
all_k_sweep,29,29,all-k,515.351,1.000,103.070,20.6141,1,1d478b3dd653a6b1
all_k_sweep,30,30,all-k,535.971,1.000,107.194,21.4388,1,1d478b3dd653a6b1
all_k_sweep,31,31,all-k,556.684,1.000,111.337,22.2674,1,1d478b3dd653a6b1
all_k_sweep,32,32,all-k,577.488,1.000,115.498,23.0995,1,1d478b3dd653a6b1
all_k_sweep,33,33,all-k,598.379,1.000,119.676,23.9352,1,1d478b3dd653a6b1
all_k_sweep,34,34,all-k,619.355,1.000,123.871,24.7742,1,1d478b3dd653a6b1
all_k_sweep,35,35,all-k,640.414,1.000,128.083,25.6166,1,1d478b3dd653a6b1
all_k_sweep,36,36,all-k,661.553,1.000,132.311,26.4621,1,1d478b3dd653a6b1
all_k_sweep,37,37,all-k,682.770,1.000,136.554,27.3108,1,1d478b3dd653a6b1
all_k_sweep,38,38,all-k,704.062,1.000,140.812,28.1625,1,1d478b3dd653a6b1
all_k_sweep,39,39,all-k,725.428,1.000,145.086,29.0171,1,1d478b3dd653a6b1
all_k_sweep,40,40,all-k,746.867,1.000,149.373,29.8747,1,1d478b3dd653a6b1
