arm,eta,R_m,n_seeds,C_realised_med,C_asymptotic,tour_len_med_m,T1_med_s,T1_lo_s,T1_hi_s,max_kappa_rho,schema_version,prov_id
bhh,0.0,60.0,120,120.0,106.9167,7803.95,390.197,390.197,390.197,,1,bc48c85adf467ea9
bhh,0.0,94.0,120,52.0,43.5605,5137.19,256.86,256.86,256.86,,1,bc48c85adf467ea9
bhh,0.0,120.0,120,30.0,26.7292,3901.97,195.099,195.099,195.099,,1,bc48c85adf467ea9
bhh,0.0,150.0,120,20.0,17.1067,3185.95,159.298,159.298,159.298,,1,bc48c85adf467ea9
bhh,0.0,200.0,120,12.0,9.6225,2467.83,123.391,123.391,123.391,,1,bc48c85adf467ea9
bhh,0.0,250.0,120,8.0,6.1584,2014.97,100.749,100.749,100.749,,1,bc48c85adf467ea9
bhh,0.0,300.0,120,6.0,4.2767,1745.02,87.251,87.251,87.251,,1,bc48c85adf467ea9
bhh,0.0,350.0,120,4.0,3.142,1424.8,71.24,71.24,71.24,,1,bc48c85adf467ea9
bhh,0.0,400.0,120,3.0,2.4056,1233.91,61.696,61.696,61.696,,1,bc48c85adf467ea9
bhh,0.5,60.0,120,120.0,106.9167,7803.95,390.197,390.197,390.197,,1,bc48c85adf467ea9
bhh,0.5,94.0,120,52.0,43.5605,5137.19,256.86,256.86,256.86,,1,bc48c85adf467ea9
bhh,0.5,120.0,120,30.0,26.7292,3901.97,195.099,195.099,195.099,,1,bc48c85adf467ea9
bhh,0.5,150.0,120,20.0,17.1067,3185.95,159.298,159.298,159.298,,1,bc48c85adf467ea9
bhh,0.5,200.0,120,12.0,9.6225,2467.83,123.391,123.391,123.391,,1,bc48c85adf467ea9
bhh,0.5,250.0,120,8.0,6.1584,2014.97,100.749,100.749,100.749,,1,bc48c85adf467ea9
bhh,0.5,300.0,120,6.0,4.2767,1745.02,87.251,87.251,87.251,,1,bc48c85adf467ea9
bhh,0.5,350.0,120,4.0,3.142,1424.8,71.24,71.24,71.24,,1,bc48c85adf467ea9
bhh,0.5,400.0,120,3.0,2.4056,1233.91,61.696,61.696,61.696,,1,bc48c85adf467ea9
bhh,1.0,60.0,120,79.0,106.9167,6331.95,316.598,314.587,320.58,,1,bc48c85adf467ea9
bhh,1.0,94.0,120,38.0,43.5605,4391.53,219.576,216.668,222.447,,1,bc48c85adf467ea9
bhh,1.0,120.0,120,24.0,26.7292,3490.03,174.502,174.502,178.1,,1,bc48c85adf467ea9
bhh,1.0,150.0,120,17.0,17.1067,2937.3,146.865,142.48,146.865,,1,bc48c85adf467ea9
bhh,1.0,200.0,120,11.0,9.6225,2362.76,118.138,112.64,118.138,,1,bc48c85adf467ea9
bhh,1.0,250.0,120,7.0,6.1584,1884.83,94.242,94.242,94.242,,1,bc48c85adf467ea9
bhh,1.0,300.0,120,6.0,4.2767,1745.02,87.251,79.649,87.251,,1,bc48c85adf467ea9
bhh,1.0,350.0,120,4.0,3.142,1424.8,71.24,71.24,71.24,,1,bc48c85adf467ea9
bhh,1.0,400.0,120,3.0,2.4056,1233.91,61.696,61.696,61.696,,1,bc48c85adf467ea9
