arm,mode,R_m,spacing_m,k,trickle,adv_interval_s,n_seeds,n_nodes,n_c,seeded_frac,h_max,censored,censored_rate,censored_lo,censored_hi,frac_complete_mean,T_spread_med,T_spread_lo,T_spread_hi,T_hop_med,T_hop_lo,T_hop_hi,pkts_med,pkts_per_node_med,mac_tx_total,mac_tx_drop_total,mac_drop_rate,send_fail_total,schema_version,prov_id
main,spread,60.0,20.0,4,1,0.5,120,23.0,23.0,0.90833,0.2,0,0.0,0.0,0.03102,1.0,1.3324,1.2393,1.4271,6.662,6.1967,7.1357,57.5,2.5,6672.0,407.0,0.061001,0.0,1,bc48c85adf467ea9
main,spread,60.0,20.0,8,1,0.5,120,23.0,23.0,0.96667,0.2,0,0.0,0.0,0.03102,1.0,1.7115,1.653,1.7895,8.5576,8.2649,8.9475,97.0,4.217,11072.0,823.0,0.074332,0.0,1,bc48c85adf467ea9
main,spread,60.0,20.0,16,1,0.5,120,23.0,23.0,0.97174,0.2,0,0.0,0.0,0.03102,1.0,2.2084,2.1101,2.3598,11.0419,10.5506,11.7991,160.5,6.978,18069.0,1387.0,0.076761,0.0,1,bc48c85adf467ea9
main,spread,94.0,20.0,4,1,0.5,120,61.0,61.0,0.63156,0.88,0,0.0,0.0,0.03102,1.0,1.8138,1.7453,1.9402,2.0611,1.9832,2.2048,172.5,2.828,20066.0,885.0,0.044104,0.0,1,bc48c85adf467ea9
main,spread,94.0,20.0,8,1,0.5,120,61.0,61.0,0.67117,0.88,0,0.0,0.0,0.03102,1.0,2.461,2.3721,2.532,2.7966,2.6956,2.8773,276.5,4.533,31651.0,1542.0,0.048719,0.0,1,bc48c85adf467ea9
main,spread,94.0,20.0,16,1,0.5,120,61.0,61.0,0.67459,0.88,0,0.0,0.0,0.03102,1.0,3.1031,3.0101,3.1942,3.5263,3.4205,3.6298,428.0,7.016,48942.0,2684.0,0.05484,0.0,1,bc48c85adf467ea9
main,spread,120.0,20.0,4,1,0.5,120,99.0,99.0,0.5096,1.4,0,0.0,0.0,0.03102,1.0,2.6486,2.6029,2.7089,1.8918,1.8592,1.935,315.0,3.182,36871.0,1314.0,0.035638,0.0,1,bc48c85adf467ea9
main,spread,120.0,20.0,8,1,0.5,120,99.0,99.0,0.54074,1.4,0,0.0,0.0,0.03102,1.0,3.1442,3.0625,3.2797,2.2459,2.1875,2.3427,478.0,4.828,55910.0,2255.0,0.040333,0.0,1,bc48c85adf467ea9
main,spread,120.0,20.0,16,1,0.5,120,99.0,99.0,0.5436,1.4,0,0.0,0.0,0.03102,1.0,3.9076,3.8094,4.0481,2.7911,2.721,2.8915,733.0,7.404,84818.0,3589.0,0.042314,0.0,1,bc48c85adf467ea9
main,spread,150.0,20.0,4,1,0.5,120,147.0,147.0,0.42511,2.0,0,0.0,0.0,0.03102,1.0,3.0261,2.9309,3.2247,1.5131,1.4654,1.6124,511.5,3.48,59634.0,1693.0,0.02839,0.0,1,bc48c85adf467ea9
main,spread,150.0,20.0,8,1,0.5,120,147.0,147.0,0.45068,2.0,0,0.0,0.0,0.03102,1.0,3.7799,3.6865,3.8672,1.89,1.8433,1.9336,748.5,5.092,87401.0,2914.0,0.033341,0.0,1,bc48c85adf467ea9
main,spread,150.0,20.0,16,1,0.5,120,147.0,147.0,0.45295,2.0,0,0.0,0.0,0.03102,1.0,4.4916,4.4168,4.5737,2.2458,2.2084,2.2869,1125.0,7.653,130220.0,4751.0,0.036484,0.0,1,bc48c85adf467ea9
main,spread,200.0,20.0,4,1,0.5,120,257.0,257.0,0.32451,3.0,0,0.0,0.0,0.03102,1.0,4.2432,4.097,4.3873,1.4144,1.3657,1.4624,976.5,3.8,115249.0,2632.0,0.022838,0.0,1,bc48c85adf467ea9
main,spread,200.0,20.0,8,1,0.5,120,257.0,257.0,0.34478,3.0,0,0.0,0.0,0.03102,1.0,4.894,4.8385,4.9747,1.6313,1.6128,1.6582,1412.5,5.496,164974.0,4501.0,0.027283,0.0,1,bc48c85adf467ea9
main,spread,200.0,20.0,16,1,0.5,120,257.0,257.0,0.3463,3.0,0,0.0,0.0,0.03102,1.0,5.7702,5.6622,5.8864,1.9234,1.8874,1.9621,2070.5,8.056,241597.0,7275.0,0.030112,0.0,1,bc48c85adf467ea9
main,spread,250.0,20.0,4,1,0.5,120,397.0,397.0,0.26228,4.0,0,0.0,0.0,0.03102,1.0,5.3058,5.1729,5.4836,1.3264,1.2932,1.3709,1594.5,4.016,187914.0,3742.0,0.019913,0.0,1,bc48c85adf467ea9
main,spread,250.0,20.0,8,1,0.5,120,397.0,397.0,0.27905,4.0,0,0.0,0.0,0.03102,1.0,6.032,5.9604,6.1066,1.508,1.4901,1.5267,2263.0,5.7,265703.0,6154.0,0.023161,0.0,1,bc48c85adf467ea9
main,spread,250.0,20.0,16,1,0.5,120,397.0,397.0,0.28018,4.0,0,0.0,0.0,0.03102,1.0,6.8673,6.7507,6.9547,1.7168,1.6877,1.7387,3278.5,8.258,384097.0,9925.0,0.02584,0.0,1,bc48c85adf467ea9
main,spread,300.0,20.0,4,1,0.5,11,569.0,569.0,0.21665,5.0,0,0.0,0.0,0.25883,1.0,6.5633,6.1162,6.8023,1.3127,1.2232,1.3605,2390.0,4.2,25696.0,480.0,0.01868,0.0,1,bc48c85adf467ea9
