t1_source,k,R_m,T1_med_s,T_spread_med_s,T_total_med_s,T_total_lo_s,T_total_hi_s,T_spread_share,schema_version,prov_id
bhh,4,60.0,390.197,1.332,391.53,390.436,393.379,0.0034,1,bc48c85adf467ea9
bhh,4,94.0,256.86,1.814,258.673,258.176,259.917,0.00701,1,bc48c85adf467ea9
bhh,4,120.0,195.099,2.649,197.747,197.073,198.721,0.01339,1,bc48c85adf467ea9
bhh,4,150.0,159.298,3.026,162.324,161.771,163.409,0.01864,1,bc48c85adf467ea9
bhh,4,200.0,123.391,4.243,127.635,127.007,128.865,0.03325,1,bc48c85adf467ea9
bhh,4,250.0,100.749,5.306,106.054,105.456,107.219,0.05003,1,bc48c85adf467ea9
bhh,4,300.0,87.251,6.563,93.814,93.046,94.344,0.06996,1,bc48c85adf467ea9
bhh,8,60.0,390.197,1.712,391.909,390.838,393.01,0.00437,1,bc48c85adf467ea9
bhh,8,94.0,256.86,2.461,259.32,258.601,260.168,0.00949,1,bc48c85adf467ea9
bhh,8,120.0,195.099,3.144,198.243,197.645,199.248,0.01586,1,bc48c85adf467ea9
bhh,8,150.0,159.298,3.78,163.077,162.263,163.835,0.02318,1,bc48c85adf467ea9
bhh,8,200.0,123.391,4.894,128.285,127.708,129.158,0.03815,1,bc48c85adf467ea9
bhh,8,250.0,100.749,6.032,106.781,105.875,107.77,0.05649,1,bc48c85adf467ea9
bhh,16,60.0,390.197,2.208,392.406,391.797,393.974,0.00563,1,bc48c85adf467ea9
bhh,16,94.0,256.86,3.103,259.963,259.365,260.996,0.01194,1,bc48c85adf467ea9
bhh,16,120.0,195.099,3.908,199.006,198.239,200.288,0.01964,1,bc48c85adf467ea9
bhh,16,150.0,159.298,4.492,163.789,163.123,165.068,0.02742,1,bc48c85adf467ea9
bhh,16,200.0,123.391,5.77,129.162,128.486,130.058,0.04467,1,bc48c85adf467ea9
bhh,16,250.0,100.749,6.867,107.616,106.994,108.824,0.06381,1,bc48c85adf467ea9
